0.0	26.0	15.0	0.0	0.0	2.3	952.0	Pull from Entity	4.0	0.0	4.0	0.0	327.55508223789707	464.79876201676393	365.368885283	1826.844426415
1.0	24.0	16.0	0.0	0.0	2.3	952.0	Pull from Entity	4.0	0.0	4.0	0.0	327.55508223789707	464.79876201676393	365.91194533219726	1829.5597266609864
2.0	23.0	15.0	0.0	0.0	2.3	952.0	Pull from Entity	4.0	0.0	4.0	0.0	328.1952306482278	465.4262742055646	366.16547745202354	1830.8273872601178
3.0	22.0	15.0	0.0	0.0	2.4	952.0	Pull from Entity	4.0	0.0	4.0	0.0	328.1952306482278	465.4262742055646	366.25510691513784	1831.2755345756893
4.0	19.0	11.0	0.0	0.0	2.4	952.0	Pull from Entity	4.0	0.0	4.0	0.0	328.1952306482278	465.4262742055646	366.25510691513784	1831.2755345756893
5.0	36.0	20.0	0.0	0.0	2.4	952.0	Pull from Entity	4.0	0.0	4.0	0.0	328.1952306482278	465.4262742055646	366.25510691513784	1831.2755345756893
6.0	30.0	15.0	0.0	0.0	2.4	952.0	Pull from Entity	4.0	0.0	4.0	0.0	328.1952306482278	465.96465855329404	365.99290118567313	1829.9645059283657
7.0	27.0	17.0	0.0	0.0	2.4	952.0	Pull from Entity	4.0	0.0	4.0	0.0	328.2897755357705	465.96465855329404	366.0118101631817	1830.0590508159084
8.0	27.0	15.0	0.0	0.0	2.4	952.0	Pull from Entity	4.0	0.0	4.0	0.0	328.2897755357705	465.96465855329404	366.1009397247508	1830.504698623754
9.0	24.0	14.0	0.0	0.0	2.4	952.0	Pull from Entity	4.0	0.0	4.0	0.0	328.2897755357705	465.96465855329404	366.1009397247508	1830.504698623754
10.0	29.0	15.0	0.0	0.0	2.6	952.0	Pull from Entity	4.0	0.0	4.0	0.0	328.2897755357705	465.96465855329404	365.9240173131858	1829.620086565929
11.0	22.0	14.0	0.0	0.0	2.9	952.0	Pull from Entity	4.0	0.0	4.0	0.0	328.2897755357705	461.8760350727084	365.1085150358538	1825.542575179269
12.0	24.0	16.0	0.0	0.0	2.9	952.0	Pull from Entity	4.0	0.0	4.0	0.0	327.00835405750024	461.8760350727084	364.8942288606634	1824.471144303317
13.0	24.0	17.0	0.0	0.0	2.9	952.0	Pull from Entity	4.0	0.0	4.0	0.0	327.00835405750024	461.8760350727084	364.8942288606634	1824.471144303317
14.0	21.0	14.0	0.0	0.0	2.9	952.0	Pull from Entity	4.0	0.0	4.0	0.0	327.00835405750024	461.8760350727084	364.8942288606634	1824.471144303317
15.0	22.0	15.0	0.0	0.0	2.9	952.0	Pull from Entity	4.0	0.0	4.0	0.0	327.00835405750024	461.8760350727084	364.71270108236206	1823.5635054118102
16.0	21.0	15.0	0.0	0.0	2.9	952.0	Pull from Entity	4.0	0.0	4.0	0.0	323.7945988344157	462.483830621366	364.9779186580884	1824.889593290442
17.0	22.0	15.0	0.0	0.0	2.9	952.0	Pull from Entity	4.0	0.0	4.0	0.0	323.7945988344157	462.483830621366	363.5613708352698	1817.8068541763491
18.0	23.0	15.0	0.0	0.0	2.9	952.0	Pull from Entity	4.0	0.0	4.0	0.0	323.7945988344157	462.483830621366	363.5613708352698	1817.8068541763491
19.0	24.0	15.0	0.0	0.0	2.9	952.0	Pull from Entity	4.0	0.0	4.0	0.0	323.7945988344157	462.483830621366	363.5613708352698	1817.8068541763491
20.0	21.0	14.0	0.0	0.0	3.0	975.0	Pull from Entity	5.0	0.0	5.0	0.0	323.7945988344157	462.483830621366	363.379633062177	1816.898165310885
21.0	25.0	15.0	0.0	0.0	3.0	975.0	Pull from Entity	5.0	0.0	5.0	0.0	324.6134937725591	463.46950517478456	363.74054696048944	1818.7027348024471
22.0	21.0	14.0	0.0	0.0	3.0	975.0	Pull from Entity	5.0	0.0	5.0	0.0	324.6134937725591	463.46950517478456	363.3133171934761	1816.5665859673804
23.0	21.0	15.0	0.0	0.0	3.0	975.0	Pull from Entity	5.0	0.0	5.0	0.0	324.6134937725591	463.46950517478456	363.3133171934761	1816.5665859673804
24.0	21.0	15.0	0.0	0.0	3.0	975.0	Pull from Entity	5.0	0.0	5.0	0.0	324.6134937725591	463.46950517478456	363.3133171934761	1816.5665859673804
25.0	37.0	27.0	0.0	0.0	3.0	975.0	Pull from Entity	5.0	0.0	5.0	0.0	324.6134937725591	463.46950517478456	364.5369889626462	1822.6849448132311
26.0	28.0	15.0	0.0	0.0	3.0	975.0	Pull from Entity	5.0	0.0	5.0	0.0	323.341593704208	464.01577529162523	364.3918629723442	1821.959314861721
27.0	25.0	15.0	0.0	0.0	3.0	975.0	Pull from Entity	5.0	0.0	5.0	0.0	323.341593704208	464.01577529162523	364.515289563401	1822.576447817005
28.0	25.0	15.0	0.0	0.0	3.0	975.0	Pull from Entity	5.0	0.0	5.0	0.0	323.341593704208	464.01577529162523	364.515289563401	1822.576447817005
29.0	26.0	15.0	0.0	0.0	3.0	975.0	Pull from Entity	5.0	0.0	5.0	0.0	323.341593704208	464.01577529162523	365.053437272997	1825.2671863649848
30.0	29.0	17.0	0.0	0.0	3.0	975.0	Pull from Entity	5.0	0.0	5.0	0.0	323.341593704208	464.5313092704057	364.29531888426396	1821.4765944213198
