0.0	1620.0	4467.0	2370.0	5602.0	2965.0	2965.0	3194.0	5621.0	3994.0	2230.0
1.0	1707.0	4623.0	2596.0	5391.0	3329.0	3329.0	3697.0	6193.0	4535.0	2941.0
2.0	1794.0	4779.0	2821.0	5685.0	3693.0	3693.0	4167.0	1861.0	5176.0	3652.0
3.0	1880.0	4935.0	3047.0	5980.0	4057.0	4057.0	4703.0	2502.0	5818.0	4363.0
4.0	1967.0	5091.0	3272.0	1540.0	4421.0	4421.0	5206.0	3024.0	1760.0	5074.0
5.0	2054.0	5247.0	3498.0	1835.0	4786.0	4786.0	6013.0	3680.0	2401.0	5919.0
6.0	2141.0	5403.0	3723.0	2332.0	5150.0	5150.0	1651.0	4219.0	3043.0	2004.0
7.0	2227.0	5593.0	3949.0	2493.0	5547.0	5547.0	2154.0	4790.0	3702.0	2716.0
8.0	2314.0	5749.0	4174.0	2720.0	5912.0	5912.0	2657.0	5329.0	4326.0	3427.0
9.0	2401.0	5905.0	4400.0	3014.0	1404.0	1404.0	3160.0	5934.0	4968.0	4138.0
10.0	2487.0	1224.0	4625.0	3309.0	1768.0	1768.0	3663.0	1792.0	5610.0	4849.0
11.0	2574.0	1380.0	4851.0	3604.0	2132.0	2132.0	4166.0	2364.0	1742.0	5560.0
12.0	2661.0	1536.0	5127.0	3899.0	2496.0	2496.0	4669.0	2937.0	2367.0	1640.0
13.0	2748.0	1692.0	5352.0	4262.0	2861.0	2861.0	5172.0	3509.0	3008.0	2351.0
14.0	2834.0	1848.0	5611.0	4489.0	3225.0	3225.0	5708.0	4082.0	3718.0	3062.0
15.0	2921.0	2004.0	5836.0	4801.0	3589.0	3589.0	1581.0	4654.0	4342.0	3774.0
16.0	3008.0	2160.0	1276.0	5078.0	3953.0	3953.0	2084.0	5226.0	4933.0	4502.0
17.0	3094.0	2316.0	1451.0	5373.0	4317.0	4317.0	2587.0	5832.0	5575.0	5230.0
18.0	3181.0	2472.0	1778.0	5668.0	4682.0	4682.0	3090.0	1688.0	1690.0	1571.0
19.0	3268.0	2628.0	2003.0	6031.0	5046.0	5046.0	3560.0	2260.0	2332.0	2265.0
20.0	3355.0	2785.0	2229.0	1367.0	5410.0	5410.0	4096.0	2833.0	2974.0	2993.0
21.0	3441.0	2941.0	2454.0	1662.0	5808.0	5808.0	4599.0	3405.0	3615.0	3687.0
22.0	3528.0	3097.0	2629.0	1974.0	1473.0	1473.0	5102.0	3944.0	4257.0	4415.0
23.0	3615.0	3253.0	2905.0	2251.0	1837.0	1837.0	5605.0	4550.0	5017.0	5109.0
24.0	3701.0	3409.0	3097.0	2546.0	2201.0	2201.0	1581.0	5139.0	5608.0	1640.0
25.0	3788.0	3565.0	3323.0	2858.0	2566.0	2566.0	2253.0	5761.0	1812.0	2334.0
26.0	3875.0	3721.0	3498.0	3136.0	2930.0	2930.0	2587.0	1827.0	2471.0	3028.0
27.0	3962.0	3877.0	3706.0	3431.0	3294.0	3294.0	3158.0	2399.0	3214.0	3774.0
28.0	4048.0	4033.0	4033.0	3743.0	3658.0	3658.0	3593.0	2971.0	3771.0	4467.0
29.0	4135.0	4189.0	4258.0	4020.0	4023.0	4023.0	4096.0	3544.0	4378.0	5161.0
30.0	4222.0	4345.0	4433.0	4315.0	4387.0	4387.0	4599.0	4116.0	5020.0	2022.0
31.0	4309.0	4502.0	4658.0	4610.0	4751.0	4751.0	5153.0	4689.0	1739.0	2733.0
32.0	4395.0	4658.0	4934.0	4905.0	5115.0	5115.0	5605.0	5261.0	2280.0	3444.0
33.0	4482.0	4814.0	5127.0	5200.0	5479.0	5479.0	1651.0	1497.0	2922.0	4138.0
34.0	4569.0	4970.0	5487.0	5495.0	5844.0	5844.0	2154.0	2070.0	3581.0	4866.0
35.0	4655.0	5126.0	5611.0	5790.0	1629.0	1629.0	2657.0	2642.0	4205.0	5577.0
36.0	4742.0	5282.0	5803.0	1540.0	1960.0	1960.0	3160.0	3214.0	4864.0	2559.0
37.0	4829.0	5438.0	1260.0	1835.0	2358.0	2358.0	3663.0	3787.0	5488.0	3255.0
38.0	4916.0	5594.0	1486.0	2130.0	2722.0	2722.0	4166.0	4359.0	1968.0	3964.0
39.0	5002.0	5750.0	1762.0	2425.0	3086.0	3086.0	4669.0	4931.0	2609.0	4693.0
40.0	5089.0	5906.0	1937.0	2720.0	3450.0	3450.0	5172.0	5537.0	3370.0	5387.0
